0 1 2 3 5 6.596109867095947
 1 1 2 2 2 8.020401954650879
 10 34 62 78 90 56.4930534362793
 11 18 24 26 32 24.283023834228516
 21 38 57 81 103 68.43609619140625
 17 32 51 72 83 57.882320404052734
 3 7 11 16 21 18.88939094543457
 1 3 4 7 9 6.876298427581787
 12 27 41 49 61 72.75567626953125
 12 23 30 46 58 32.922176361083984
 16 37 61 86 114 91.86688232421875
 3 8 9 12 14 8.755897521972656
 1 1 1 1 1 0.33856138586997986
 5 11 16 18 28 27.52854347229004
 2 4 7 10 12 6.9696946144104
 1 3 5 5 7 4.704835891723633
 32 58 76 97 119 318.9598388671875
 0 0 0 2 2 6.012382984161377
 2 4 7 12 16 8.744223594665527
 5 12 19 31 40 33.587623596191406
 5 10 18 26 34 24.236324310302734
 0 0 1 1 3 4.588090419769287
 4 10 19 26 32 22.216630935668945
 11 22 32 43 57 33.08562088012695
 52 96 135 180 229 259.0227966308594
 0 1 1 3 4 14.674884796142578
 17 37 53 68 86 53.76121139526367
 9 23 37 51 67 56.04941940307617
 58 99 139 170 194 249.90501403808594
 3 5 7 8 11 4.85660457611084
 31 40 51 68 85 137.9228973388672
 8 18 27 36 47 33.01557159423828
 0 4 8 10 12 4.798232078552246
 1 4 11 16 17 14.83832836151123
 18 48 78 104 138 91.8435287475586
 0 0 1 2 3 1.4826653003692627
 13 22 32 46 58 41.14104461669922
 4 12 19 29 36 27.656963348388672
 9 19 27 29 31 17.593517303466797
 2 8 19 30 39 23.6876220703125
